metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
absolute;yes;Cap|Electricity|Nuclear;GW;;;MEA;2020;1.2792;1.7056;7.524;8.778;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;REF;2020;25.53;34.04;51.2304;59.7688;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CAZ;2020;7.5936;10.1248;15.252;17.794;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CHA;2020;32.4132;43.2176;66.384;77.448;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;IND;2020;4.068;5.424;9.06;10.57;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;JPN;2020;7.578;10.104;40.8864;47.7008;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;USA;2020;58.1112;77.4816;116.34;135.73;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;World;2030;270.9;321.69375;464.2617;507.1;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;LAM;2030;;2.4336;9.009;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;OAS;2030;;13.8576;48.762;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;SSA;2030;;0.888;2.59;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;EUR;2030;;49.6848;150.094;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;NEU;2030;;1.4256;10.402;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;MEA;2030;;3.0096;16.296;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;REF;2030;;20.424;67.858;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CAZ;2030;;6.1008;17.794;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;CHA;2030;;26.5536;120.638;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;IND;2030;;3.624;17.248;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;JPN;2030;;6.0624;45.36;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;USA;2030;;46.536;135.73;;;;;
;;;;;;;;;;;;;;;
incomplete regions;;;;;;;;;;;;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;World;2025;1866.65076;2167.71608;2832.17172;3271.73704;;;;BNEF Solar Outlook
absolute;yes;Cap|Electricity|Solar;GW;;;CHA;2025;;615.5034;2189.1996;;;;;https://github.com/pik-piam/mrremind/discussions/542
absolute;yes;Cap|Electricity|Solar;GW;;;EUR;2025;;208.90128;644.41132;;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;IND;2025;;65.29578;220.60682;;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;World;2030;2940.57576;4434.89108;7843.82172;10272.13704;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;CHA;2030;;1033.5534;7391.5996;;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;EUR;2030;;295.30128;1719.61132;;;;;
absolute;yes;Cap|Electricity|Solar;GW;;;IND;2030;;113.44578;819.80682;;;;;
;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2025;1066.024935;1174.47303;1406.913795;1549.90539;;;;GWEC
absolute;yes;Capacity|Electricity|Wind;GW;;;EUR;2025;;163.08348;431.03312;;;;;https://github.com/pik-piam/mrremind/discussions/543
absolute;yes;Capacity|Electricity|Wind;GW;;;CHA;2025;;335.12808;984.53152;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;IND;2025;;30.00042;81.14848;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;USA;2025;;93.23412;234.15378;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2030;1350.924885;1775.92848;2736.446895;3407.03099;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;EUR;2030;;201.08598;903.95312;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;CHA;2030;;436.32408;2243.85952;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;IND;2030;;38.05542;181.38848;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;USA;2030;;106.93662;404.67378;;;;;
;;;;;;;;;;;;;;;
post 2030;;;;;;;;;;;;;;;
absolute;yes;Cap|Electricity|Nuclear;GW;;;World;2050;;;;991;;;;IAEA high case
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2035;;;;1300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2040;;;;4300;;;;Kazlou et al. (https://www.nature.com/articles/s41558-024-02104-0)
absolute;yes;Carbon Management|Storage;Mt CO2/yr;;;World;2050;;;;8600;;;;Grant et al.
absolute;yes;PE|Biomass;EJ/yr;;;World;2030-2100;;;100;300;;;;Creutzig et al. 2015: https://onlinelibrary.wiley.com/doi/10.1111/gcbb.12205
